game_id,ugly_name,pretty_name
174430,gloomhaven,Gloomhaven
161936,pandemic-legacy-season-1,Pandemic Legacy: Season 1
182028,through-ages-new-story-civilization,Through the Ages: A New Story of Civilization
167791,terraforming-mars,Terraforming Mars
12333,twilight-struggle,Twilight Struggle
187645,star-wars-rebellion,Star Wars: Rebellion
169786,scythe,Scythe
220308,gaia-project,Gaia Project
193738,great-western-trail,Great Western Trail
120677,terra-mystica,Terra Mystica
233078,twilight-imperium-fourth-edition,Twilight Imperium (Fourth Edition)
115746,war-ring-second-edition,War of the Ring (Second Edition)
84876,castles-burgundy,The Castles of Burgundy
173346,7-wonders-duel,7 Wonders Duel
180263,7th-continent,The 7th Continent
162886,spirit-island,Spirit Island
3076,puerto-rico,Puerto Rico
205637,arkham-horror-card-game,Arkham Horror: The Card Game
183394,viticulture-essential-edition,Viticulture Essential Edition
124361,concordia,Concordia
102794,caverna-cave-farmers,Caverna: The Cave Farmers
224517,brass-birmingham,Brass: Birmingham
28720,brass-lancashire,Brass: Lancashire
31260,agricola,Agricola
96848,mage-knight-board-game,Mage Knight Board Game
205059,mansions-madness-second-edition,Mansions of Madness: Second Edition
164928,orleans,Orléans
170216,blood-rage,Blood Rage
175914,food-chain-magnate,Food Chain Magnate
177736,feast-odin,A Feast for Odin
209010,mechs-vs-minions,Mechs vs. Minions
55690,kingdom-death-monster,Kingdom Death: Monster
221107,pandemic-legacy-season-2,Pandemic Legacy: Season 2
164153,star-wars-imperial-assault,Star Wars: Imperial Assault
25613,through-ages-story-civilization,Through the Ages: A Story of Civilization
2651,power-grid,Power Grid
230802,azul,Azul
72125,eclipse,Eclipse
126163,tzolk-mayan-calendar,Tzolk'in: The Mayan Calendar
35677,le-havre,Le Havre
121921,robinson-crusoe-adventures-cursed-island,Robinson Crusoe: Adventures on the Cursed Island
171623,voyages-marco-polo,The Voyages of Marco Polo
124742,android-netrunner,Android: Netrunner
216132,clans-caledonia,Clans of Caledonia
68448,7-wonders,7 Wonders
122515,keyflower,Keyflower
18602,caylus,Caylus
28143,race-galaxy,Race for the Galaxy
62219,dominant-species,Dominant Species
205896,rising-sun,Rising Sun
159675,fields-arle,Fields of Arle
12493,twilight-imperium-third-edition,Twilight Imperium (Third Edition)
110327,lords-waterdeep,Lords of Waterdeep
146021,eldritch-horror,Eldritch Horror
157354,five-tribes,Five Tribes
178900,codenames,Codenames
93,el-grande,El Grande
185343,anachrony,Anachrony
40834,dominion-intrigue,Dominion: Intrigue
201808,clank-deck-building-adventure,Clank!: A Deck-Building Adventure
163412,patchwork,Patchwork
125153,gallerist,The Gallerist
172386,mombasa,Mombasa
37111,battlestar-galactica-board-game,Battlestar Galactica: The Board Game
146508,time-stories,T.I.M.E Stories
132531,roll-galaxy,Roll for the Galaxy
73439,troyes,Troyes
2511,sherlock-holmes-consulting-detective-thames-murder,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
144733,russian-railroads,Russian Railroads
42,tigris-euphrates,Tigris & Euphrates
103885,star-wars-x-wing-miniatures-game,Star Wars: X-Wing Miniatures Game
102680,trajan,Trajan
150376,dead-winter-crossroads-game,Dead of Winter: A Crossroads Game
30549,pandemic,Pandemic
36218,dominion,Dominion
127023,kemet,Kemet
521,crokinole,Crokinole
237182,root,Root
198928,pandemic-iberia,Pandemic: Iberia
161533,lisboa,Lisboa
104162,descent-journeys-dark-second-edition,Descent: Journeys in the Dark (Second Edition)
34635,stone-age,Stone Age
175155,forbidden-stars,Forbidden Stars
161970,alchemists,Alchemists
194655,santorini,Santorini
9609,war-ring-first-edition,War of the Ring (First Edition)
146652,legendary-encounters-alien-deck-building-game,Legendary Encounters: An Alien Deck Building Game
200680,agricola-revised-edition,Agricola (Revised Edition)
147020,star-realms,Star Realms
155426,castles-mad-king-ludwig,Castles of Mad King Ludwig
196340,yokohama,Yokohama
103343,game-thrones-board-game-second-edition,A Game of Thrones: The Board Game (Second Edition)
148949,istanbul,Istanbul
170042,raiders-north-sea,Raiders of the North Sea
128882,resistance-avalon,The Resistance: Avalon
172287,champions-midgard,Champions of Midgard
14996,ticket-ride-europe,Ticket to Ride: Europe
70149,ora-et-labora,Ora et Labora
43111,chaos-old-world,Chaos in the Old World
182874,grand-austria-hotel,Grand Austria Hotel
17133,railways-world,Railways of the World
155068,arcadia-quest,Arcadia Quest
123260,suburbia,Suburbia
14105,commands-colors-ancients,Commands & Colors: Ancients
126042,nations,Nations
171131,captain-sonar,Captain Sonar
155821,inis,Inis
77423,lord-rings-card-game,The Lord of the Rings: The Card Game
21050,combat-commander-europe,Combat Commander: Europe
191189,aeons-end,Aeon's End
224037,codenames-duet,Codenames: Duet
39463,cosmic-encounter,Cosmic Encounter
91,paths-glory,Paths of Glory
54043,jaipur,Jaipur
10630,memoir-44,Memoir '44
195421,near-and-far,Near and Far
104006,village,Village
43015,hansa-teutonica,Hansa Teutonica
203993,lorenzo-il-magnifico,Lorenzo il Magnifico
9216,goa,Goa
31627,ticket-ride-nordic-countries,Ticket to Ride: Nordic Countries
221194,dinosaur-island,Dinosaur Island
4098,age-steam,Age of Steam
199561,sagrada,Sagrada
146886,la-granja,La Granja
148228,splendor,Splendor
215,tichu,Tichu
176189,zombicide-black-plague,Zombicide: Black Plague
27833,steam,Steam
188,go,Go
555,princes-florence,The Princes of Florence
233371,clank-space,Clank! In! Space!
129437,legendary-marvel-deck-building-game,Legendary: A Marvel Deck Building Game
128621,viticulture,Viticulture
9209,ticket-ride,Ticket to Ride
197376,charterstone,Charterstone
118048,targi,Targi
12,ra,Ra
20551,shogun,Shogun
175640,vinhos-deluxe-edition,Vinhos Deluxe Edition
25021,sekigahara-unification-japan,Sekigahara: The Unification of Japan
31481,galaxy-trucker,Galaxy Trucker
192135,too-many-bones,Too Many Bones
54998,cyclades,Cyclades
822,carcassonne,Carcassonne
154203,imperial-settlers,Imperial Settlers
188920,war-mine-board-game,This War of Mine: The Board Game
463,magic-gathering,Magic: The Gathering
7854,yinsh,YINSH
163068,trickerion-legends-illusion,Trickerion: Legends of Illusion
192291,sushi-go-party,Sushi Go Party!
24181,imperial,Imperial
182631,star-realms-colony-wars,Star Realms: Colony Wars
236457,architects-west-kingdom,Architects of the West Kingdom
97207,dungeon-petz,Dungeon Petz
140620,lewis-clark,Lewis & Clark
22545,age-empires-iii-age-discovery,Age of Empires III: The Age of Discovery
19857,glory-rome,Glory to Rome
155873,power-grid-deluxe-europenorth-america,Power Grid Deluxe: Europe/North America
234,hannibal-rome-vs-carthage,Hannibal: Rome vs. Carthage
156129,deception-murder-hong-kong,Deception: Murder in Hong Kong
176494,isle-skye-chieftain-king,Isle of Skye: From Chieftain to King
27708,1960-making-president,1960: The Making of the President
146439,battlelore-second-edition,BattleLore (Second Edition)
93260,summoner-wars-master-set,Summoner Wars: Master Set
127060,bora-bora,Bora Bora
59294,runewars,Runewars
82222,xia-legends-drift-system,Xia: Legends of a Drift System
198994,hero-realms,Hero Realms
193037,dead-winter-long-night,Dead of Winter: The Long Night
38453,space-alert,Space Alert
108745,seasons,Seasons
421,1830-railways-robber-barons,1830: Railways & Robber Barons
203420,exit-game-abandoned-cabin,Exit: The Game – The Abandoned Cabin
101721,mage-wars-arena,Mage Wars Arena
48726,alien-frontiers,Alien Frontiers
92828,dixit-odyssey,Dixit: Odyssey
188834,secret-hitler,Secret Hitler
66589,navegador,Navegador
172818,above-and-below,Above and Below
181304,mysterium,Mysterium
3,samurai,Samurai
181279,fury-dracula-thirdfourth-edition,Fury of Dracula (third/fourth edition)
54138,imperial-2030,Imperial 2030
109276,kanban-drivers-edition,Kanban: Driver's Edition
233398,endeavor-age-sail,Endeavor: Age of Sail
229853,teotihuacan-city-gods,Teotihuacan: City of Gods
17392,here-i-stand,Here I Stand
760,battle-line,Battle Line
19777,indonesia,Indonesia
77130,sid-meiers-civilization-board-game,Sid Meier's Civilization: The Board Game
239188,chronicles-crime,Chronicles of Crime
204583,kingdomino,Kingdomino
13122,antiquity,Antiquity
199792,everdell,Everdell
160477,onitama,Onitama
41114,resistance,The Resistance
45315,dungeon-lords,Dungeon Lords
172081,burgle-bros,Burgle Bros.
59959,letters-whitechapel,Letters from Whitechapel
40692,small-world,Small World
144344,rococo,Rococo
220877,rajas-ganges,Rajas of the Ganges
119890,agricola-all-creatures-big-and-small,Agricola: All Creatures Big and Small
163745,star-wars-armada,Star Wars: Armada
225694,decrypto,Decrypto
176734,manhattan-project-energy-empire,The Manhattan Project: Energy Empire
176920,mission-red-planet-second-edition,Mission: Red Planet (Second Edition)
2655,hive,Hive
1,die-macher,Die Macher
39856,dixit,Dixit
37046,ghost-stories,Ghost Stories
25292,merchants-marauders,Merchants & Marauders
136888,bruges,Bruges
118,modern-art,Modern Art
257501,keyforge-call-archons,KeyForge: Call of the Archons
143693,glass-road,Glass Road
54,tikal,Tikal
5,acquire,Acquire
209685,century-spice-road,Century: Spice Road
36932,claustrophobia,Claustrophobia
33160,endeavor,Endeavor
21241,neuroshima-hex-30,Neuroshima Hex! 3.0
